Code Domaine,Domaine,Code zone (FAO),Zone,Code indicateur,Indicateur,Code sexe,Sexe,Code année,Année,Code Élément,Élément,Code source,Source,Unité,Valeur,Symbole,Description du Symbole,Note
"OEA","Indicateurs de l’emploi: Agriculture et systèmes agroalimentaires","2","Afghanistan","21160","Emploi total dans les systèmes agroalimentaires (AFS)","1","Total","2017","2017","6199","Valeur","3044","FAO Model","1000 No","4641.38","E","Valeur estimée","Modelled using ISIC shares"
"OEA","Indicateurs de l’emploi: Agriculture et systèmes agroalimentaires","2","Afghanistan","21160","Emploi total dans les systèmes agroalimentaires (AFS)","1","Total","2018","2018","6199","Valeur","3044","FAO Model","1000 No","4691.69","E","Valeur estimée","Modelled FAO"
"OEA","Indicateurs de l’emploi: Agriculture et systèmes agroalimentaires","2","Afghanistan","21160","Emploi total dans les systèmes agroalimentaires (AFS)","1","Total","2019","2019","6199","Valeur","3044","FAO Model","1000 No","4820.24","E","Valeur estimée","Modelled FAO"
"OEA","Indicateurs de l’emploi: Agriculture et systèmes agroalimentaires","2","Afghanistan","21160","Emploi total dans les systèmes agroalimentaires (AFS)","1","Total","2020","2020","6199","Valeur","3044","FAO Model","1000 No","4821.39","E","Valeur estimée","Modelled FAO"
"OEA","Indicateurs de l’emploi: Agriculture et systèmes agroalimentaires","2","Afghanistan","21160","Emploi total dans les systèmes agroalimentaires (AFS)","1","Total","2021","2021","6199","Valeur","3044","FAO Model","1000 No","4827.2","E","Valeur estimée","Modelled FAO"
"OEA","Indicateurs de l’emploi: Agriculture et systèmes agroalimentaires","2","Afghanistan","21160","Emploi total dans les systèmes agroalimentaires (AFS)","1","Total","2022","2022","6199","Valeur","3044","FAO Model","1000 No","3374.98","E","Valeur estimée","Total AFS Employment includes only Agriculture"
"OEA","Indicateurs de l’emploi: Agriculture et systèmes agroalimentaires","2","Afghanistan","21111","Employment in crop and animal production, hunting and related service activities","1","Total","2017","2017","6199","Valeur","3021","Household income and expenditure survey","1000 No","2737.94","X","Chiffre de source externe","Repository: ILO-STATISTICS - Micro data processing"
"OEA","Indicateurs de l’emploi: Agriculture et systèmes agroalimentaires","2","Afghanistan","21111","Employment in crop and animal production, hunting and related service activities","1","Total","2021","2021","6199","Valeur","3023","Labour force survey","1000 No","1185.84","X","Chiffre de source externe","Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter"
"OEA","Indicateurs de l’emploi: Agriculture et systèmes agroalimentaires","202","Afrique du Sud","21160","Emploi total dans les systèmes agroalimentaires (AFS)","1","Total","2017","2017","6199","Valeur","3044","FAO Model","1000 No","5152.34","E","Valeur estimée","Modelled using ISIC shares"
"OEA","Indicateurs de l’emploi: Agriculture et systèmes agroalimentaires","202","Afrique du Sud","21160","Emploi total dans les systèmes agroalimentaires (AFS)","1","Total","2018","2018","6199","Valeur","3044","FAO Model","1000 No","4963.12","E","Valeur estimée","Modelled using ISIC shares"
"OEA","Indicateurs de l’emploi: Agriculture et systèmes agroalimentaires","202","Afrique du Sud","21160","Emploi total dans les systèmes agroalimentaires (AFS)","1","Total","2019","2019","6199","Valeur","3044","FAO Model","1000 No","5123.94","E","Valeur estimée","Modelled using ISIC shares"
"OEA","Indicateurs de l’emploi: Agriculture et systèmes agroalimentaires","202","Afrique du Sud","21160","Emploi total dans les systèmes agroalimentaires (AFS)","1","Total","2020","2020","6199","Valeur","3044","FAO Model","1000 No","5807.16","E","Valeur estimée","Modelled using ISIC shares"
"OEA","Indicateurs de l’emploi: Agriculture et systèmes agroalimentaires","202","Afrique du Sud","21160","Emploi total dans les systèmes agroalimentaires (AFS)","1","Total","2021","2021","6199","Valeur","3044","FAO Model","1000 No","5544.05","E","Valeur estimée","Modelled using ISIC shares"
"OEA","Indicateurs de l’emploi: Agriculture et systèmes agroalimentaires","202","Afrique du Sud","21160","Emploi total dans les systèmes agroalimentaires (AFS)","1","Total","2022","2022","6199","Valeur","3044","FAO Model","1000 No","5536.37","E","Valeur estimée","Modelled using ISIC shares"
"OEA","Indicateurs de l’emploi: Agriculture et systèmes agroalimentaires","202","Afrique du Sud","21111","Employment in crop and animal production, hunting and related service activities","1","Total","2017","2017","6199","Valeur","3023","Labour force survey","1000 No","856.82","X","Chiffre de source externe","Repository: ILO-STATISTICS - Micro data processing"
"OEA","Indicateurs de l’emploi: Agriculture et systèmes agroalimentaires","202","Afrique du Sud","21111","Employment in crop and animal production, hunting and related service activities","1","Total","2018","2018","6199","Valeur","3023","Labour force survey","1000 No","850.74","X","Chiffre de source externe","Repository: ILO-STATISTICS - Micro data processing"
"OEA","Indicateurs de l’emploi: Agriculture et systèmes agroalimentaires","202","Afrique du Sud","21111","Employment in crop and animal production, hunting and related service activities","1","Total","2019","2019","6199","Valeur","3023","Labour force survey","1000 No","869.19","X","Chiffre de source externe","Repository: ILO-STATISTICS - Micro data processing"
